Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,LapNumber,AirTemp,TrackTemp,Humidity,WindSpeed,Year,LapTimeSeconds,S1Seconds,S2Seconds,S3Seconds
VER,0 days 00:01:04.951000,0 days 00:00:16.474000,0 days 00:00:28.943000,0 days 00:00:19.534000,SOFT,5.0,323.0,247.0,287.0,319.0,True,17.0,26.70000000000001,39.60941176470588,41.576470588235296,0.8411764705882353,2023,64.951,16.474,28.943,19.534
VER,0 days 00:01:04.503000,0 days 00:00:16.348000,0 days 00:00:28.757000,0 days 00:00:19.398000,SOFT,2.0,324.0,247.0,289.0,316.0,True,20.0,26.70000000000001,39.60941176470588,41.576470588235296,0.8411764705882353,2023,64.503,16.348,28.757,19.398
VER,0 days 00:01:04.391000,0 days 00:00:16.300000,0 days 00:00:28.732000,0 days 00:00:19.359000,SOFT,2.0,324.0,249.0,290.0,317.0,True,23.0,26.70000000000001,39.60941176470588,41.576470588235296,0.8411764705882353,2023,64.391,16.3,28.732,19.359
VER,0 days 00:01:06.054000,0 days 00:00:16.579000,0 days 00:00:29.671000,0 days 00:00:19.804000,SOFT,5.0,320.0,242.0,287.0,316.0,True,2.0,31.32894736842105,46.107894736842105,37.69736842105263,1.335526315789474,2024,66.054,16.579,29.671,19.804
VER,0 days 00:01:05.336000,0 days 00:00:16.421000,0 days 00:00:29.316000,0 days 00:00:19.599000,SOFT,5.0,322.0,244.0,285.0,316.0,True,5.0,31.32894736842105,46.107894736842105,37.69736842105263,1.335526315789474,2024,65.336,16.421,29.316,19.599
VER,0 days 00:01:04.577000,0 days 00:00:16.266000,0 days 00:00:28.931000,0 days 00:00:19.380000,SOFT,2.0,322.0,251.0,287.0,318.0,True,8.0,31.32894736842105,46.107894736842105,37.69736842105263,1.335526315789474,2024,64.577,16.266,28.931,19.38
VER,0 days 00:01:04.469000,0 days 00:00:16.262000,0 days 00:00:28.852000,0 days 00:00:19.355000,SOFT,2.0,322.0,249.0,288.0,318.0,True,11.0,31.32894736842105,46.107894736842105,37.69736842105263,1.335526315789474,2024,64.469,16.262,28.852,19.355
VER,0 days 00:01:04.426000,0 days 00:00:16.310000,0 days 00:00:28.784000,0 days 00:00:19.332000,SOFT,2.0,322.0,248.0,286.0,318.0,True,14.0,31.32894736842105,46.107894736842105,37.69736842105263,1.335526315789474,2024,64.426,16.31,28.784,19.332
VER,0 days 00:01:04.314000,0 days 00:00:16.254000,0 days 00:00:28.791000,0 days 00:00:19.269000,SOFT,2.0,323.0,249.0,288.0,319.0,True,17.0,31.32894736842105,46.107894736842105,37.69736842105263,1.335526315789474,2024,64.314,16.254,28.791,19.269
VER,0 days 00:01:05.106000,0 days 00:00:16.370000,0 days 00:00:29.123000,0 days 00:00:19.613000,SOFT,2.0,319.0,247.0,285.0,318.0,True,2.0,27.77386363636364,47.19659090909091,33.89772727272727,1.3943181818181818,2025,65.106,16.37,29.123,19.613
VER,0 days 00:01:05.202000,0 days 00:00:16.407000,0 days 00:00:29.085000,0 days 00:00:19.710000,SOFT,5.0,318.0,245.0,285.0,321.0,False,5.0,27.77386363636364,47.19659090909091,33.89772727272727,1.3943181818181818,2025,65.202,16.407,29.085,19.71
VER,0 days 00:01:05.103000,0 days 00:00:16.488000,0 days 00:00:29.038000,0 days 00:00:19.577000,SOFT,2.0,314.0,248.0,286.0,320.0,True,8.0,27.77386363636364,47.19659090909091,33.89772727272727,1.3943181818181818,2025,65.103,16.488,29.038,19.577
