Driver,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,LapNumber,AirTemp,TrackTemp,Humidity,WindSpeed,Round,SessionType,CircuitType,LapTimeSeconds,S1Seconds,S2Seconds,S3Seconds,TeamTier,CircuitName,LapLengthKm,NumCorners,NumDRS,AvgSpeedKmh,MaxSpeedKmh,DownforceLevel,LapTimeSeconds_delta,LapTimeSeconds_pct,S1Seconds_delta,S1Seconds_pct,S2Seconds_delta,S2Seconds_pct,S3Seconds_delta,S3Seconds_pct,DriverFormDelta,CircuitTypeCode,SessionTypeCode,Driver_ANT,Driver_BEA,Driver_BOR,Driver_COL,Driver_GAS,Driver_HAD,Driver_HAM,Driver_HUL,Driver_LAW,Driver_LEC,Driver_LIN,Driver_NOR,Driver_PIA,Driver_RUS,Driver_SAI,Driver_VER,Team_Alpine,Team_Audi,Team_Ferrari,Team_Haas F1 Team,Team_McLaren,Team_Mercedes,Team_Racing Bulls,Team_Red Bull Racing,Team_Williams
ANT,Mercedes,0 days 00:01:29.312000,0 days 00:00:30.537000,0 days 00:00:33.702000,0 days 00:00:25.073000,MEDIUM,2.0,221.0,189.0,265.0,324.0,True,2.0,30.574576271186437,52.272881355932206,53.22203389830509,2.9949152542372883,4,SQ,permanent,89.312,30.537,33.702,25.073,3.0,Miami,5.412,19,3,215,320,3,0.039499999999989654,0.0442465484891648,0.05799999999999983,0.19029495718363407,-0.194500000000005,-0.5738055551458262,0.16199999999999903,0.6503151218337242,-0.6037884615384663,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:29.242000,0 days 00:00:30.242000,0 days 00:00:33.884000,0 days 00:00:25.116000,MEDIUM,2.0,221.0,190.0,270.0,314.0,True,7.0,30.574576271186437,52.272881355932206,53.22203389830509,2.9949152542372883,4,SQ,permanent,89.242,30.242,33.884,25.116,3.0,Miami,5.412,19,3,215,320,3,-0.030500000000003524,-0.03416505642835534,-0.23699999999999832,-0.7775845664227774,-0.012500000000002842,-0.03687696369832531,0.2049999999999983,0.8229296294809454,-0.5825555555555603,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:29.209000,0 days 00:00:30.576000,0 days 00:00:33.805000,0 days 00:00:24.828000,MEDIUM,5.0,221.0,190.0,258.0,333.0,True,10.0,30.574576271186437,52.272881355932206,53.22203389830509,2.9949152542372883,4,SQ,permanent,89.209,30.576,33.805,24.828,3.0,Miami,5.412,19,3,215,320,3,-0.06350000000000477,-0.07113052731804842,0.09700000000000131,0.318251911151945,-0.09150000000000347,-0.2699393742716902,-0.08300000000000196,-0.3331861426679056,-0.5640178571428619,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:28.091000,0 days 00:00:29.959000,0 days 00:00:33.409000,0 days 00:00:24.723000,SOFT,2.0,224.0,191.0,268.0,310.0,True,13.0,30.574576271186437,52.272881355932206,53.22203389830509,2.9949152542372883,4,SQ,permanent,88.091,29.959,33.409,24.723,3.0,Miami,5.412,19,3,215,320,3,-1.181500000000014,-1.323475874429431,-0.5199999999999996,-1.7060927195774127,-0.48750000000000426,-1.438201584234373,-0.1880000000000024,-0.7546866845971755,-0.5853103448275913,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:14.228000,0 days 00:00:21.129000,0 days 00:00:23.647000,0 days 00:00:29.452000,SOFT,8.0,244.0,287.0,274.0,316.0,True,3.0,21.27594936708861,30.875949367088612,24.462025316455694,1.0759493670886076,5,Q,permanent,74.228,21.129,23.647,29.452,3.0,Canada,4.361,14,3,210,328,2,0.6884999999999906,0.9362315490314599,0.18950000000000244,0.9049881802335416,0.3114999999999988,1.3348760472241812,0.1340000000000039,0.45705709802852823,-0.5428500000000052,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:13.380000,0 days 00:00:20.974000,0 days 00:00:23.190000,0 days 00:00:29.216000,SOFT,10.0,249.0,290.0,276.0,322.0,True,5.0,21.27594936708861,30.875949367088612,24.462025316455694,1.0759493670886076,5,Q,permanent,73.38,20.974,23.19,29.216,3.0,Canada,4.361,14,3,210,328,2,-0.1595000000000084,-0.21689024265871865,0.03450000000000131,0.16476038109793123,-0.1454999999999984,-0.6235135308864109,-0.10199999999999676,-0.3479091343202018,-0.5304838709677472,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:13.076000,0 days 00:00:20.661000,0 days 00:00:23.235000,0 days 00:00:29.180000,SOFT,3.0,246.0,289.0,276.0,319.0,True,9.0,21.27594936708861,30.875949367088612,24.462025316455694,1.0759493670886076,5,Q,permanent,73.076,20.661,23.235,29.18,3.0,Canada,4.361,14,3,210,328,2,-0.46350000000001046,-0.6302735264721822,-0.2784999999999975,-1.3300222068339622,-0.10050000000000026,-0.4306742945297947,-0.13799999999999812,-0.47070059349204635,-0.5283906250000054,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:13.214000,0 days 00:00:20.714000,0 days 00:00:23.236000,0 days 00:00:29.264000,SOFT,3.0,248.0,289.0,274.0,317.0,False,13.0,21.27594936708861,30.875949367088612,24.462025316455694,1.0759493670886076,5,Q,permanent,73.214,20.714,23.236,29.264,3.0,Canada,4.361,14,3,210,328,2,-0.32550000000000523,-0.4426192726358014,-0.22550000000000026,-1.0769120561618006,-0.09949999999999903,-0.426388978166309,-0.053999999999998494,-0.1841871887577546,-0.5222424242424297,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:13.180000,0 days 00:00:20.980000,0 days 00:00:23.203000,0 days 00:00:28.997000,SOFT,5.0,250.0,289.0,276.0,323.0,False,15.0,21.27594936708861,30.875949367088612,24.462025316455694,1.0759493670886076,5,Q,permanent,73.18,20.98,23.203,28.997,3.0,Canada,4.361,14,3,210,328,2,-0.35949999999999704,-0.4888529293780853,0.040500000000001535,0.19341436041931057,-0.13250000000000028,-0.567804418161172,-0.32099999999999795,-1.0948905109488982,-0.5174558823529464,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:13.088000,0 days 00:00:20.994000,0 days 00:00:23.175000,0 days 00:00:28.919000,SOFT,3.0,248.0,288.0,275.0,322.0,True,19.0,21.27594936708861,30.875949367088612,24.462025316455694,1.0759493670886076,5,Q,permanent,73.088,20.994,23.175,28.919,3.0,Canada,4.361,14,3,210,328,2,-0.45150000000001,-0.6139557652690187,0.05450000000000088,0.26027364550252335,-0.16049999999999898,-0.6877932763386213,-0.39899999999999736,-1.3609386724878825,-0.5155714285714339,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:12.646000,0 days 00:00:20.547000,0 days 00:00:23.061000,0 days 00:00:29.038000,SOFT,3.0,248.0,288.0,274.0,319.0,True,23.0,21.27594936708861,30.875949367088612,24.462025316455694,1.0759493670886076,5,Q,permanent,72.646,20.547,23.061,29.038,3.0,Canada,4.361,14,3,210,328,2,-0.8935000000000031,-1.2149933029188436,-0.3924999999999983,-1.874447813940153,-0.27449999999999974,-1.1763193417754054,-0.2799999999999976,-0.9550446824476349,-0.5260694444444497,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:14.010000,0 days 00:00:21.241000,0 days 00:00:23.499000,0 days 00:00:29.270000,MEDIUM,3.0,248.0,289.0,275.0,319.0,True,3.0,19.979012345679013,41.37283950617284,24.243209876543208,1.388888888888889,5,SQ,permanent,74.01,21.241,23.499,29.27,3.0,Canada,4.361,14,3,210,328,2,0.0,0.0,0.13400000000000034,0.6348604728289209,0.0,0.0,-0.18799999999999883,-0.6381967547016052,-0.5118513513513565,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:13.551000,0 days 00:00:20.895000,0 days 00:00:23.303000,0 days 00:00:29.353000,MEDIUM,3.0,248.0,291.0,277.0,319.0,True,9.0,19.979012345679013,41.37283950617284,24.243209876543208,1.388888888888889,5,SQ,permanent,73.551,20.895,23.303,29.353,3.0,Canada,4.361,14,3,210,328,2,-0.4590000000000032,-0.6201864612890192,-0.21199999999999974,-1.0044061211920203,-0.19599999999999795,-0.8340780458742838,-0.10499999999999687,-0.35643967682801575,-0.5104605263157945,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:13.500000,0 days 00:00:21.080000,0 days 00:00:23.207000,0 days 00:00:29.213000,SOFT,2.0,247.0,287.0,276.0,319.0,True,13.0,19.979012345679013,41.37283950617284,24.243209876543208,1.388888888888889,5,SQ,permanent,73.5,21.08,23.207,29.213,3.0,Canada,4.361,14,3,210,328,2,-0.5100000000000051,-0.6890960680989124,-0.027000000000001023,-0.1279196475103095,-0.29199999999999804,-1.2426060683433255,-0.24499999999999744,-0.8316925792653862,-0.510448717948723,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
